user.id,category,type,tweeting_lang,bio_lang,type_1,type_2,type_3,type_4,category_1,category_2,category_3,category_4
1257791236234022913,Other,Individual,en,en,Individual,Individual,Individual,,['Other'],['Other'],['Other'],[]
1078794943861268480,Media,Institution,en,en,Institution,Institution,Institution,,"['Business', 'Media: Other Media']",['Media: Other Media'],"['Business', 'Media: Scientific News and Communication']",[]
882489361610059776,Other,Individual,en,en,Individual,Individual,Individual,,['Other'],['Other'],"['Not in English', 'Other']",[]
386058412,Art,Individual,en,en,Individual,Individual,Individual,,['Art'],['Art'],['Art'],[]
142933969,Non-Governmental Organization,Institution,en,en,Institution,Institution,Institution,Institution,['Public Services'],['Non-Governmental Organization'],['Government and Politics'],['Non-Governmental Organization']
248014091,Other,Unclear,en,en,Individual,Unclear,Unclear,,['Other'],['Outspoken Political Supporter'],['Other'],[]
3143216799,Non-Governmental Organization,Individual,en,en,Individual,Institution,,Individual,['Science: Other Science'],"['Non-Governmental Organization', 'Science: Other Science']",['Non-Governmental Organization'],['Media: Scientific News and Communication']
833737002939977729,Sport,Individual,en,en,Individual,Institution,Individual,,['Sport'],['Sport'],['Sport'],[]
1112618556,Other,Individual,en,en,Individual,Individual,Individual,,['Other'],['Other'],['Art'],[]
1260417737819652096,Other,Unclear,en,sw,Unclear,Individual,Unclear,,['Other'],['Other'],['Other'],[]
1230975835164770306,Outspoken Political Supporter,Individual,en,en,Individual,Individual,Individual,,['Other'],['Outspoken Political Supporter'],['Outspoken Political Supporter'],[]
1239302948569722880,Non-Governmental Organization,Individual,en,en,Individual,Individual,Unclear,Institution,['Non-Governmental Organization'],['Outspoken Political Supporter'],['Other'],['Non-Governmental Organization']
3118949804,Other,Unclear,en,en,Unclear,Unclear,Individual,,['Other'],['Other'],['Other'],[]
745032584598458368,Other,Unclear,en,id,Unclear,Individual,Unclear,,['Other'],['Other'],['Other'],[]
1256353203886665739,Other,Unclear,en,en,Unclear,Unclear,Individual,,['Other'],['Other'],['Other'],[]
712388181778407428,Other,Individual,en,en,Individual,Individual,Individual,,['Other'],['Other'],['Other'],[]
80628196,Non-Governmental Organization,Institution,en,en,Institution,Institution,Institution,,['Non-Governmental Organization'],['Non-Governmental Organization'],['Non-Governmental Organization'],[]
48791956,,Institution,en,en,Institution,Institution,Institution,Institution,['Healthcare'],['Other'],['Public Services'],['Non-Governmental Organization']
828312848661086212,Other,Individual,en,en,Individual,Individual,Unclear,Individual,['Other'],['Other'],['Sport'],['Science: Engineering and Technology']
43958971,Business,Institution,en,en,Institution,Institution,Institution,,"['Business', 'Non-Governmental Organization']",['Non-Governmental Organization'],['Business'],[]
840618056678293504,Science,Institution,en,en,Institution,Institution,Institution,,['Business'],['Science: Engineering and Technology'],['Science: Engineering and Technology'],[]
1241409847741964288,,Individual,en,en,Individual,Individual,Individual,Individual,['Other'],['Business'],"['Government and Politics', 'Non-Governmental Organization']",['Porn']
40419885,Other,Unclear,en,en,Unclear,Individual,Unclear,,['Art'],['Other'],['Other'],[]
